"","Date","country","value","year","infant_mortality","life_expectancy","fertility","population","gdp","continent","region"
"27","2003-01-12","Philippines",NA,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"28","2003-01-12","Singapore",0.238,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"29","2003-01-12","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"30","2003-01-12","Venezuela",NA,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"31","2003-01-19","Argentina",NA,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"32","2003-01-19","Bolivia",0.173,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"33","2003-01-19","Brazil",0.17,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"34","2003-01-19","India",0.032,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"35","2003-01-19","Indonesia",0.039,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"36","2003-01-19","Mexico",0.052,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"37","2003-01-19","Philippines",NA,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"38","2003-01-19","Singapore",0.175,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"39","2003-01-19","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"40","2003-01-19","Venezuela",NA,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"41","2003-01-26","Argentina",NA,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"42","2003-01-26","Bolivia",0.146,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"43","2003-01-26","Brazil",0.138,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"44","2003-01-26","India",0.04,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"45","2003-01-26","Indonesia",0.112,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"46","2003-01-26","Mexico",0.048,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"47","2003-01-26","Philippines",NA,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"48","2003-01-26","Singapore",0.164,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"49","2003-01-26","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"50","2003-01-26","Venezuela",NA,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"51","2003-02-02","Argentina",NA,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"52","2003-02-02","Bolivia",0.16,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"53","2003-02-02","Brazil",0.202,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"54","2003-02-02","India",0.038,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"55","2003-02-02","Indonesia",0.049,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"56","2003-02-02","Mexico",0.041,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"57","2003-02-02","Philippines",NA,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"58","2003-02-02","Singapore",0.163,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"59","2003-02-02","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"60","2003-02-02","Venezuela",NA,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"61","2003-02-09","Argentina",NA,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"62","2003-02-09","Bolivia",0.225,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"63","2003-02-09","Brazil",0.179,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"64","2003-02-09","India",0.019,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"65","2003-02-09","Indonesia",0.06,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"66","2003-02-09","Mexico",0.042,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"67","2003-02-09","Philippines",NA,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"68","2003-02-09","Singapore",0.15,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"69","2003-02-09","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"70","2003-02-09","Venezuela",NA,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"71","2003-02-16","Argentina",0.046,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"72","2003-02-16","Bolivia",0.109,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"73","2003-02-16","Brazil",0.239,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"74","2003-02-16","India",0.008,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"75","2003-02-16","Indonesia",0.039,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"76","2003-02-16","Mexico",0.049,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"77","2003-02-16","Philippines",NA,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"78","2003-02-16","Singapore",0.144,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"79","2003-02-16","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"80","2003-02-16","Venezuela",0.139,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"81","2003-02-23","Argentina",0.048,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"82","2003-02-23","Bolivia",0.147,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"83","2003-02-23","Brazil",0.205,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"84","2003-02-23","India",0.022,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"85","2003-02-23","Indonesia",0.078,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"86","2003-02-23","Mexico",0.054,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"87","2003-02-23","Philippines",NA,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"88","2003-02-23","Singapore",0.142,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"89","2003-02-23","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"90","2003-02-23","Venezuela",0.137,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"91","2003-03-02","Argentina",0.051,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"92","2003-03-02","Bolivia",0.119,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"93","2003-03-02","Brazil",0.142,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"94","2003-03-02","India",0.028,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"95","2003-03-02","Indonesia",0.048,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"96","2003-03-02","Mexico",0.075,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"97","2003-03-02","Philippines",NA,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"98","2003-03-02","Singapore",0.129,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"99","2003-03-02","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"100","2003-03-02","Venezuela",0.168,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"101","2003-03-09","Argentina",0.051,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"102","2003-03-09","Bolivia",0.195,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"103","2003-03-09","Brazil",0.28,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"104","2003-03-09","India",0.003,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"105","2003-03-09","Indonesia",0.089,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"106","2003-03-09","Mexico",0.096,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"107","2003-03-09","Philippines",NA,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"108","2003-03-09","Singapore",0.13,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"109","2003-03-09","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"110","2003-03-09","Venezuela",0.169,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"111","2003-03-16","Argentina",0.046,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"112","2003-03-16","Bolivia",0.289,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"113","2003-03-16","Brazil",0.162,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"114","2003-03-16","India",0.006,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"115","2003-03-16","Indonesia",0.08,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"116","2003-03-16","Mexico",0.064,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"117","2003-03-16","Philippines",NA,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"118","2003-03-16","Singapore",0.12,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"119","2003-03-16","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"120","2003-03-16","Venezuela",0.157,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"121","2003-03-23","Argentina",0.043,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"122","2003-03-23","Bolivia",0.227,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"123","2003-03-23","Brazil",0.17,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"124","2003-03-23","India",0.015,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"125","2003-03-23","Indonesia",0.054,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"126","2003-03-23","Mexico",0.073,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"127","2003-03-23","Philippines",NA,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"128","2003-03-23","Singapore",0.115,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"129","2003-03-23","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"130","2003-03-23","Venezuela",0.154,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"131","2003-03-30","Argentina",0.039,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"132","2003-03-30","Bolivia",0.194,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"133","2003-03-30","Brazil",0.176,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"134","2003-03-30","India",0.033,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"135","2003-03-30","Indonesia",0.071,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"136","2003-03-30","Mexico",0.076,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"137","2003-03-30","Philippines",0.059,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"138","2003-03-30","Singapore",0.104,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"139","2003-03-30","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"140","2003-03-30","Venezuela",0.138,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"141","2003-04-06","Argentina",0.036,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"142","2003-04-06","Bolivia",0.121,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"143","2003-04-06","Brazil",0.134,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"144","2003-04-06","India",0.008,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"145","2003-04-06","Indonesia",0.054,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"146","2003-04-06","Mexico",0.068,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"147","2003-04-06","Philippines",0.059,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"148","2003-04-06","Singapore",0.107,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"149","2003-04-06","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"150","2003-04-06","Venezuela",0.136,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"151","2003-04-13","Argentina",0.031,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"152","2003-04-13","Bolivia",0.101,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"153","2003-04-13","Brazil",0.15,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"154","2003-04-13","India",0.012,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"155","2003-04-13","Indonesia",0.088,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"156","2003-04-13","Mexico",0.055,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"157","2003-04-13","Philippines",0.058,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"158","2003-04-13","Singapore",0.101,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"159","2003-04-13","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"160","2003-04-13","Venezuela",0.129,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"161","2003-04-20","Argentina",0.029,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"162","2003-04-20","Bolivia",0.147,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"163","2003-04-20","Brazil",0.104,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"164","2003-04-20","India",0.03,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"165","2003-04-20","Indonesia",0.054,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"166","2003-04-20","Mexico",0.056,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"167","2003-04-20","Philippines",0.058,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"168","2003-04-20","Singapore",0.102,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"169","2003-04-20","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"170","2003-04-20","Venezuela",0.168,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"171","2003-04-27","Argentina",0.034,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"172","2003-04-27","Bolivia",0.097,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"173","2003-04-27","Brazil",0.104,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"174","2003-04-27","India",0.004,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"175","2003-04-27","Indonesia",0.081,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"176","2003-04-27","Mexico",0.072,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"177","2003-04-27","Philippines",0.061,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"178","2003-04-27","Singapore",0.128,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"179","2003-04-27","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"180","2003-04-27","Venezuela",0.263,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"181","2003-05-04","Argentina",0.031,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"182","2003-05-04","Bolivia",0.069,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"183","2003-05-04","Brazil",0.089,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"184","2003-05-04","India",0.007,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"185","2003-05-04","Indonesia",0.068,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"186","2003-05-04","Mexico",0.071,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"187","2003-05-04","Philippines",0.059,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"188","2003-05-04","Singapore",0.132,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"189","2003-05-04","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"190","2003-05-04","Venezuela",0.222,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"191","2003-05-11","Argentina",0.039,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"192","2003-05-11","Bolivia",0.064,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"193","2003-05-11","Brazil",0.067,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"194","2003-05-11","India",0,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"195","2003-05-11","Indonesia",0.048,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"196","2003-05-11","Mexico",0.06,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"197","2003-05-11","Philippines",0.059,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"198","2003-05-11","Singapore",0.14,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"199","2003-05-11","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"200","2003-05-11","Venezuela",0.2,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"201","2003-05-18","Argentina",0.039,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"202","2003-05-18","Bolivia",0.053,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"203","2003-05-18","Brazil",0.109,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"204","2003-05-18","India",0.019,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"205","2003-05-18","Indonesia",0.061,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"206","2003-05-18","Mexico",0.069,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"207","2003-05-18","Philippines",0.057,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"208","2003-05-18","Singapore",0.151,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"209","2003-05-18","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"210","2003-05-18","Venezuela",0.202,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"211","2003-05-25","Argentina",0.039,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"212","2003-05-25","Bolivia",0.064,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"213","2003-05-25","Brazil",0.071,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"214","2003-05-25","India",0.015,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"215","2003-05-25","Indonesia",0.062,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"216","2003-05-25","Mexico",0.074,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"217","2003-05-25","Philippines",0.055,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"218","2003-05-25","Singapore",0.175,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"219","2003-05-25","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"220","2003-05-25","Venezuela",0.177,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"221","2003-06-01","Argentina",0.034,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"222","2003-06-01","Bolivia",0.058,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"223","2003-06-01","Brazil",0.08,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"224","2003-06-01","India",0.031,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"225","2003-06-01","Indonesia",0.082,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"226","2003-06-01","Mexico",0.079,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"227","2003-06-01","Philippines",0.062,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"228","2003-06-01","Singapore",0.161,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"229","2003-06-01","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"230","2003-06-01","Venezuela",0.192,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"231","2003-06-08","Argentina",0.039,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"232","2003-06-08","Bolivia",0.042,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"233","2003-06-08","Brazil",0.062,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"234","2003-06-08","India",0.05,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"235","2003-06-08","Indonesia",0.069,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"236","2003-06-08","Mexico",0.088,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"237","2003-06-08","Philippines",0.059,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"238","2003-06-08","Singapore",0.15,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"239","2003-06-08","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"240","2003-06-08","Venezuela",0.186,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"241","2003-06-15","Argentina",0.039,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"242","2003-06-15","Bolivia",0.047,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"243","2003-06-15","Brazil",0.036,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"244","2003-06-15","India",0.094,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"245","2003-06-15","Indonesia",0.055,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"246","2003-06-15","Mexico",0.074,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"247","2003-06-15","Philippines",0.059,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"248","2003-06-15","Singapore",0.163,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"249","2003-06-15","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"250","2003-06-15","Venezuela",0.178,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"251","2003-06-22","Argentina",0.039,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"252","2003-06-22","Bolivia",0.039,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
