"","Date","country","value","year","infant_mortality","life_expectancy","fertility","population","gdp","continent","region"
"74","2003-01-12","New.Zealand",NA,2003,NA,NA,NA,NA,NA,NA,NA
"75","2003-01-12","Norway",NA,2003,3.5,79.5,1.8,4560947,175929063478,"Europe","Northern Europe"
"76","2003-01-12","Paraguay",NA,2003,25.3,74.1,3.43,5607948,7490710349,"Americas","South America"
"77","2003-01-12","Peru",314,2003,24.1,76.2,2.77,26937737,58347474126,"Americas","South America"
"78","2003-01-12","Poland",NA,2003,7,74.9,1.27,38451227,182642797860,"Europe","Eastern Europe"
"79","2003-01-12","Romania",NA,2003,20.6,71.6,1.28,21722664,43302459253,"Europe","Eastern Europe"
"80","2003-01-12","Russia",NA,2003,16.6,64.7,1.33,144583147,306737220532,"Europe","Eastern Europe"
"81","2003-01-12","South.Africa",NA,2003,NA,NA,NA,NA,NA,NA,NA
"82","2003-01-12","Spain",NA,2003,5.1,79.6,1.3,42475265,637037529120,"Europe","Southern Europe"
"83","2003-01-12","Sweden",NA,2003,3.2,80.2,1.73,8942926,262592755597,"Europe","Northern Europe"
"84","2003-01-12","Switzerland",NA,2003,4.4,80.6,1.42,7289901,253416009483,"Europe","Western Europe"
"85","2003-01-12","Ukraine",NA,2003,13.6,67.7,1.18,47493771,39288540241,"Europe","Eastern Europe"
"86","2003-01-12","United.States",NA,2003,NA,NA,NA,NA,NA,NA,NA
"87","2003-01-12","Uruguay",NA,2003,13.3,75,2.19,3325637,20412103881,"Americas","South America"
"88","2003-01-19","Argentina",NA,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"89","2003-01-19","Australia",NA,2003,4.9,80.6,1.75,19735255,456603230864,"Oceania","Australia and New Zealand"
"90","2003-01-19","Austria",NA,2003,4.3,79,1.38,8155466,198704472152,"Europe","Western Europe"
"91","2003-01-19","Belgium",NA,2003,4.2,78.5,1.7,10426169,239659286074,"Europe","Western Europe"
"92","2003-01-19","Bolivia",NA,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"93","2003-01-19","Brazil",162,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"94","2003-01-19","Bulgaria",NA,2003,15.5,72.3,1.25,7805041,14838464302,"Europe","Eastern Europe"
"95","2003-01-19","Canada",NA,2003,5.2,79.8,1.54,31596593,773714028802,"Americas","Northern America"
"96","2003-01-19","Chile",0,2003,8,77.8,1.99,15729268,82560485563,"Americas","South America"
"97","2003-01-19","France",NA,2003,4,79.6,1.89,60464857,1375491323088,"Europe","Western Europe"
"98","2003-01-19","Germany",NA,2003,4.1,78.8,1.35,81569481,1907972414293,"Europe","Western Europe"
"99","2003-01-19","Hungary",NA,2003,8,72.7,1.29,10141471,52211105383,"Europe","Eastern Europe"
"100","2003-01-19","Japan",NA,2003,2.9,81.7,1.3,126523884,4842005214501,"Asia","Eastern Asia"
"101","2003-01-19","Mexico",NA,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"102","2003-01-19","Netherlands",NA,2003,4.7,78.7,1.75,16167421,394108353879,"Europe","Western Europe"
"103","2003-01-19","New.Zealand",NA,2003,NA,NA,NA,NA,NA,NA,NA
"104","2003-01-19","Norway",NA,2003,3.5,79.5,1.8,4560947,175929063478,"Europe","Northern Europe"
"105","2003-01-19","Paraguay",NA,2003,25.3,74.1,3.43,5607948,7490710349,"Americas","South America"
"106","2003-01-19","Peru",267,2003,24.1,76.2,2.77,26937737,58347474126,"Americas","South America"
"107","2003-01-19","Poland",NA,2003,7,74.9,1.27,38451227,182642797860,"Europe","Eastern Europe"
"108","2003-01-19","Romania",NA,2003,20.6,71.6,1.28,21722664,43302459253,"Europe","Eastern Europe"
"109","2003-01-19","Russia",NA,2003,16.6,64.7,1.33,144583147,306737220532,"Europe","Eastern Europe"
"110","2003-01-19","South.Africa",NA,2003,NA,NA,NA,NA,NA,NA,NA
"111","2003-01-19","Spain",NA,2003,5.1,79.6,1.3,42475265,637037529120,"Europe","Southern Europe"
"112","2003-01-19","Sweden",NA,2003,3.2,80.2,1.73,8942926,262592755597,"Europe","Northern Europe"
"113","2003-01-19","Switzerland",NA,2003,4.4,80.6,1.42,7289901,253416009483,"Europe","Western Europe"
"114","2003-01-19","Ukraine",NA,2003,13.6,67.7,1.18,47493771,39288540241,"Europe","Eastern Europe"
"115","2003-01-19","United.States",NA,2003,NA,NA,NA,NA,NA,NA,NA
"116","2003-01-19","Uruguay",NA,2003,13.3,75,2.19,3325637,20412103881,"Americas","South America"
"117","2003-01-26","Argentina",NA,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"118","2003-01-26","Australia",NA,2003,4.9,80.6,1.75,19735255,456603230864,"Oceania","Australia and New Zealand"
"119","2003-01-26","Austria",NA,2003,4.3,79,1.38,8155466,198704472152,"Europe","Western Europe"
"120","2003-01-26","Belgium",NA,2003,4.2,78.5,1.7,10426169,239659286074,"Europe","Western Europe"
"121","2003-01-26","Bolivia",NA,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"122","2003-01-26","Brazil",131,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"123","2003-01-26","Bulgaria",NA,2003,15.5,72.3,1.25,7805041,14838464302,"Europe","Eastern Europe"
"124","2003-01-26","Canada",NA,2003,5.2,79.8,1.54,31596593,773714028802,"Americas","Northern America"
"125","2003-01-26","Chile",0,2003,8,77.8,1.99,15729268,82560485563,"Americas","South America"
"126","2003-01-26","France",NA,2003,4,79.6,1.89,60464857,1375491323088,"Europe","Western Europe"
"127","2003-01-26","Germany",NA,2003,4.1,78.8,1.35,81569481,1907972414293,"Europe","Western Europe"
"128","2003-01-26","Hungary",NA,2003,8,72.7,1.29,10141471,52211105383,"Europe","Eastern Europe"
"129","2003-01-26","Japan",NA,2003,2.9,81.7,1.3,126523884,4842005214501,"Asia","Eastern Asia"
"130","2003-01-26","Mexico",NA,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"131","2003-01-26","Netherlands",NA,2003,4.7,78.7,1.75,16167421,394108353879,"Europe","Western Europe"
"132","2003-01-26","New.Zealand",NA,2003,NA,NA,NA,NA,NA,NA,NA
"133","2003-01-26","Norway",NA,2003,3.5,79.5,1.8,4560947,175929063478,"Europe","Northern Europe"
"134","2003-01-26","Paraguay",NA,2003,25.3,74.1,3.43,5607948,7490710349,"Americas","South America"
"135","2003-01-26","Peru",241,2003,24.1,76.2,2.77,26937737,58347474126,"Americas","South America"
"136","2003-01-26","Poland",NA,2003,7,74.9,1.27,38451227,182642797860,"Europe","Eastern Europe"
"137","2003-01-26","Romania",NA,2003,20.6,71.6,1.28,21722664,43302459253,"Europe","Eastern Europe"
"138","2003-01-26","Russia",NA,2003,16.6,64.7,1.33,144583147,306737220532,"Europe","Eastern Europe"
"139","2003-01-26","South.Africa",NA,2003,NA,NA,NA,NA,NA,NA,NA
"140","2003-01-26","Spain",NA,2003,5.1,79.6,1.3,42475265,637037529120,"Europe","Southern Europe"
"141","2003-01-26","Sweden",NA,2003,3.2,80.2,1.73,8942926,262592755597,"Europe","Northern Europe"
"142","2003-01-26","Switzerland",NA,2003,4.4,80.6,1.42,7289901,253416009483,"Europe","Western Europe"
"143","2003-01-26","Ukraine",NA,2003,13.6,67.7,1.18,47493771,39288540241,"Europe","Eastern Europe"
"144","2003-01-26","United.States",NA,2003,NA,NA,NA,NA,NA,NA,NA
"145","2003-01-26","Uruguay",NA,2003,13.3,75,2.19,3325637,20412103881,"Americas","South America"
"146","2003-02-02","Argentina",136,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"147","2003-02-02","Australia",NA,2003,4.9,80.6,1.75,19735255,456603230864,"Oceania","Australia and New Zealand"
"148","2003-02-02","Austria",NA,2003,4.3,79,1.38,8155466,198704472152,"Europe","Western Europe"
"149","2003-02-02","Belgium",NA,2003,4.2,78.5,1.7,10426169,239659286074,"Europe","Western Europe"
"150","2003-02-02","Bolivia",NA,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"151","2003-02-02","Brazil",151,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"152","2003-02-02","Bulgaria",NA,2003,15.5,72.3,1.25,7805041,14838464302,"Europe","Eastern Europe"
"153","2003-02-02","Canada",NA,2003,5.2,79.8,1.54,31596593,773714028802,"Americas","Northern America"
"154","2003-02-02","Chile",0,2003,8,77.8,1.99,15729268,82560485563,"Americas","South America"
"155","2003-02-02","France",NA,2003,4,79.6,1.89,60464857,1375491323088,"Europe","Western Europe"
"156","2003-02-02","Germany",NA,2003,4.1,78.8,1.35,81569481,1907972414293,"Europe","Western Europe"
"157","2003-02-02","Hungary",NA,2003,8,72.7,1.29,10141471,52211105383,"Europe","Eastern Europe"
"158","2003-02-02","Japan",NA,2003,2.9,81.7,1.3,126523884,4842005214501,"Asia","Eastern Asia"
"159","2003-02-02","Mexico",NA,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"160","2003-02-02","Netherlands",NA,2003,4.7,78.7,1.75,16167421,394108353879,"Europe","Western Europe"
"161","2003-02-02","New.Zealand",NA,2003,NA,NA,NA,NA,NA,NA,NA
"162","2003-02-02","Norway",NA,2003,3.5,79.5,1.8,4560947,175929063478,"Europe","Northern Europe"
"163","2003-02-02","Paraguay",NA,2003,25.3,74.1,3.43,5607948,7490710349,"Americas","South America"
"164","2003-02-02","Peru",227,2003,24.1,76.2,2.77,26937737,58347474126,"Americas","South America"
"165","2003-02-02","Poland",NA,2003,7,74.9,1.27,38451227,182642797860,"Europe","Eastern Europe"
"166","2003-02-02","Romania",NA,2003,20.6,71.6,1.28,21722664,43302459253,"Europe","Eastern Europe"
"167","2003-02-02","Russia",NA,2003,16.6,64.7,1.33,144583147,306737220532,"Europe","Eastern Europe"
"168","2003-02-02","South.Africa",NA,2003,NA,NA,NA,NA,NA,NA,NA
"169","2003-02-02","Spain",NA,2003,5.1,79.6,1.3,42475265,637037529120,"Europe","Southern Europe"
"170","2003-02-02","Sweden",NA,2003,3.2,80.2,1.73,8942926,262592755597,"Europe","Northern Europe"
"171","2003-02-02","Switzerland",NA,2003,4.4,80.6,1.42,7289901,253416009483,"Europe","Western Europe"
"172","2003-02-02","Ukraine",NA,2003,13.6,67.7,1.18,47493771,39288540241,"Europe","Eastern Europe"
"173","2003-02-02","United.States",NA,2003,NA,NA,NA,NA,NA,NA,NA
"174","2003-02-02","Uruguay",NA,2003,13.3,75,2.19,3325637,20412103881,"Americas","South America"
"175","2003-02-09","Argentina",145,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"176","2003-02-09","Australia",NA,2003,4.9,80.6,1.75,19735255,456603230864,"Oceania","Australia and New Zealand"
"177","2003-02-09","Austria",NA,2003,4.3,79,1.38,8155466,198704472152,"Europe","Western Europe"
"178","2003-02-09","Belgium",NA,2003,4.2,78.5,1.7,10426169,239659286074,"Europe","Western Europe"
"179","2003-02-09","Bolivia",NA,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"180","2003-02-09","Brazil",184,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"181","2003-02-09","Bulgaria",NA,2003,15.5,72.3,1.25,7805041,14838464302,"Europe","Eastern Europe"
"182","2003-02-09","Canada",NA,2003,5.2,79.8,1.54,31596593,773714028802,"Americas","Northern America"
"183","2003-02-09","Chile",0,2003,8,77.8,1.99,15729268,82560485563,"Americas","South America"
"184","2003-02-09","France",NA,2003,4,79.6,1.89,60464857,1375491323088,"Europe","Western Europe"
"185","2003-02-09","Germany",NA,2003,4.1,78.8,1.35,81569481,1907972414293,"Europe","Western Europe"
"186","2003-02-09","Hungary",NA,2003,8,72.7,1.29,10141471,52211105383,"Europe","Eastern Europe"
"187","2003-02-09","Japan",NA,2003,2.9,81.7,1.3,126523884,4842005214501,"Asia","Eastern Asia"
"188","2003-02-09","Mexico",NA,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"189","2003-02-09","Netherlands",NA,2003,4.7,78.7,1.75,16167421,394108353879,"Europe","Western Europe"
"190","2003-02-09","New.Zealand",NA,2003,NA,NA,NA,NA,NA,NA,NA
"191","2003-02-09","Norway",NA,2003,3.5,79.5,1.8,4560947,175929063478,"Europe","Northern Europe"
"192","2003-02-09","Paraguay",NA,2003,25.3,74.1,3.43,5607948,7490710349,"Americas","South America"
"193","2003-02-09","Peru",250,2003,24.1,76.2,2.77,26937737,58347474126,"Americas","South America"
"194","2003-02-09","Poland",NA,2003,7,74.9,1.27,38451227,182642797860,"Europe","Eastern Europe"
"195","2003-02-09","Romania",664,2003,20.6,71.6,1.28,21722664,43302459253,"Europe","Eastern Europe"
"196","2003-02-09","Russia",NA,2003,16.6,64.7,1.33,144583147,306737220532,"Europe","Eastern Europe"
"197","2003-02-09","South.Africa",NA,2003,NA,NA,NA,NA,NA,NA,NA
"198","2003-02-09","Spain",NA,2003,5.1,79.6,1.3,42475265,637037529120,"Europe","Southern Europe"
"199","2003-02-09","Sweden",NA,2003,3.2,80.2,1.73,8942926,262592755597,"Europe","Northern Europe"
"200","2003-02-09","Switzerland",NA,2003,4.4,80.6,1.42,7289901,253416009483,"Europe","Western Europe"
"201","2003-02-09","Ukraine",NA,2003,13.6,67.7,1.18,47493771,39288540241,"Europe","Eastern Europe"
"202","2003-02-09","United.States",NA,2003,NA,NA,NA,NA,NA,NA,NA
"203","2003-02-09","Uruguay",NA,2003,13.3,75,2.19,3325637,20412103881,"Americas","South America"
"204","2003-02-16","Argentina",141,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"205","2003-02-16","Australia",NA,2003,4.9,80.6,1.75,19735255,456603230864,"Oceania","Australia and New Zealand"
"206","2003-02-16","Austria",NA,2003,4.3,79,1.38,8155466,198704472152,"Europe","Western Europe"
"207","2003-02-16","Belgium",NA,2003,4.2,78.5,1.7,10426169,239659286074,"Europe","Western Europe"
"208","2003-02-16","Bolivia",NA,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"209","2003-02-16","Brazil",162,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"210","2003-02-16","Bulgaria",NA,2003,15.5,72.3,1.25,7805041,14838464302,"Europe","Eastern Europe"
"211","2003-02-16","Canada",NA,2003,5.2,79.8,1.54,31596593,773714028802,"Americas","Northern America"
"212","2003-02-16","Chile",0,2003,8,77.8,1.99,15729268,82560485563,"Americas","South America"
"213","2003-02-16","France",NA,2003,4,79.6,1.89,60464857,1375491323088,"Europe","Western Europe"
"214","2003-02-16","Germany",NA,2003,4.1,78.8,1.35,81569481,1907972414293,"Europe","Western Europe"
"215","2003-02-16","Hungary",NA,2003,8,72.7,1.29,10141471,52211105383,"Europe","Eastern Europe"
"216","2003-02-16","Japan",NA,2003,2.9,81.7,1.3,126523884,4842005214501,"Asia","Eastern Asia"
"217","2003-02-16","Mexico",NA,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"218","2003-02-16","Netherlands",NA,2003,4.7,78.7,1.75,16167421,394108353879,"Europe","Western Europe"
"219","2003-02-16","New.Zealand",NA,2003,NA,NA,NA,NA,NA,NA,NA
"220","2003-02-16","Norway",NA,2003,3.5,79.5,1.8,4560947,175929063478,"Europe","Northern Europe"
"221","2003-02-16","Paraguay",NA,2003,25.3,74.1,3.43,5607948,7490710349,"Americas","South America"
"222","2003-02-16","Peru",236,2003,24.1,76.2,2.77,26937737,58347474126,"Americas","South America"
"223","2003-02-16","Poland",NA,2003,7,74.9,1.27,38451227,182642797860,"Europe","Eastern Europe"
"224","2003-02-16","Romania",736,2003,20.6,71.6,1.28,21722664,43302459253,"Europe","Eastern Europe"
"225","2003-02-16","Russia",NA,2003,16.6,64.7,1.33,144583147,306737220532,"Europe","Eastern Europe"
"226","2003-02-16","South.Africa",NA,2003,NA,NA,NA,NA,NA,NA,NA
"227","2003-02-16","Spain",NA,2003,5.1,79.6,1.3,42475265,637037529120,"Europe","Southern Europe"
"228","2003-02-16","Sweden",NA,2003,3.2,80.2,1.73,8942926,262592755597,"Europe","Northern Europe"
"229","2003-02-16","Switzerland",NA,2003,4.4,80.6,1.42,7289901,253416009483,"Europe","Western Europe"
"230","2003-02-16","Ukraine",NA,2003,13.6,67.7,1.18,47493771,39288540241,"Europe","Eastern Europe"
"231","2003-02-16","United.States",NA,2003,NA,NA,NA,NA,NA,NA,NA
"232","2003-02-16","Uruguay",NA,2003,13.3,75,2.19,3325637,20412103881,"Americas","South America"
"233","2003-02-23","Argentina",135,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"234","2003-02-23","Australia",NA,2003,4.9,80.6,1.75,19735255,456603230864,"Oceania","Australia and New Zealand"
"235","2003-02-23","Austria",NA,2003,4.3,79,1.38,8155466,198704472152,"Europe","Western Europe"
"236","2003-02-23","Belgium",NA,2003,4.2,78.5,1.7,10426169,239659286074,"Europe","Western Europe"
"237","2003-02-23","Bolivia",426,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"238","2003-02-23","Brazil",194,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"239","2003-02-23","Bulgaria",NA,2003,15.5,72.3,1.25,7805041,14838464302,"Europe","Eastern Europe"
"240","2003-02-23","Canada",NA,2003,5.2,79.8,1.54,31596593,773714028802,"Americas","Northern America"
"241","2003-02-23","Chile",0,2003,8,77.8,1.99,15729268,82560485563,"Americas","South America"
"242","2003-02-23","France",NA,2003,4,79.6,1.89,60464857,1375491323088,"Europe","Western Europe"
"243","2003-02-23","Germany",NA,2003,4.1,78.8,1.35,81569481,1907972414293,"Europe","Western Europe"
"244","2003-02-23","Hungary",NA,2003,8,72.7,1.29,10141471,52211105383,"Europe","Eastern Europe"
"245","2003-02-23","Japan",NA,2003,2.9,81.7,1.3,126523884,4842005214501,"Asia","Eastern Asia"
"246","2003-02-23","Mexico",NA,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"247","2003-02-23","Netherlands",NA,2003,4.7,78.7,1.75,16167421,394108353879,"Europe","Western Europe"
"248","2003-02-23","New.Zealand",NA,2003,NA,NA,NA,NA,NA,NA,NA
"249","2003-02-23","Norway",NA,2003,3.5,79.5,1.8,4560947,175929063478,"Europe","Northern Europe"
"250","2003-02-23","Paraguay",NA,2003,25.3,74.1,3.43,5607948,7490710349,"Americas","South America"
"251","2003-02-23","Peru",274,2003,24.1,76.2,2.77,26937737,58347474126,"Americas","South America"
"252","2003-02-23","Poland",NA,2003,7,74.9,1.27,38451227,182642797860,"Europe","Eastern Europe"
"253","2003-02-23","Romania",740,2003,20.6,71.6,1.28,21722664,43302459253,"Europe","Eastern Europe"
"254","2003-02-23","Russia",NA,2003,16.6,64.7,1.33,144583147,306737220532,"Europe","Eastern Europe"
"255","2003-02-23","South.Africa",NA,2003,NA,NA,NA,NA,NA,NA,NA
"256","2003-02-23","Spain",NA,2003,5.1,79.6,1.3,42475265,637037529120,"Europe","Southern Europe"
"257","2003-02-23","Sweden",NA,2003,3.2,80.2,1.73,8942926,262592755597,"Europe","Northern Europe"
"258","2003-02-23","Switzerland",NA,2003,4.4,80.6,1.42,7289901,253416009483,"Europe","Western Europe"
"259","2003-02-23","Ukraine",NA,2003,13.6,67.7,1.18,47493771,39288540241,"Europe","Eastern Europe"
"260","2003-02-23","United.States",NA,2003,NA,NA,NA,NA,NA,NA,NA
"261","2003-02-23","Uruguay",NA,2003,13.3,75,2.19,3325637,20412103881,"Americas","South America"
"262","2003-03-02","Argentina",134,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"263","2003-03-02","Australia",NA,2003,4.9,80.6,1.75,19735255,456603230864,"Oceania","Australia and New Zealand"
"264","2003-03-02","Austria",NA,2003,4.3,79,1.38,8155466,198704472152,"Europe","Western Europe"
"265","2003-03-02","Belgium",NA,2003,4.2,78.5,1.7,10426169,239659286074,"Europe","Western Europe"
"266","2003-03-02","Bolivia",427,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"267","2003-03-02","Brazil",177,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
