"X","Date","country","value","year","infant_mortality","life_expectancy","fertility","population","gdp","continent","region"
35,"2003-01-05",Brazil,162.0,2003,22.5,71.7,2.2,183627339,678217761979,Americas,South America
36,"2003-01-05",Bulgaria,,2003,15.5,72.3,1.25,7805041,14838464302,Europe,Eastern Europe
37,"2003-01-05",Canada,,2003,5.2,79.8,1.54,31596593,773714028802,Americas,Northern America
38,"2003-01-05",Chile,,2003,8.0,77.8,1.99,15729268,82560485563,Americas,South America
39,"2003-01-05",France,,2003,4.0,79.6,1.89,60464857,1375491323088,Europe,Western Europe
40,"2003-01-05",Germany,,2003,4.1,78.8,1.35,81569481,1907972414293,Europe,Western Europe
41,"2003-01-05",Hungary,,2003,8.0,72.7,1.29,10141471,52211105383,Europe,Eastern Europe
42,"2003-01-05",Japan,,2003,2.9,81.7,1.3,126523884,4842005214501,Asia,Eastern Asia
43,"2003-01-05",Mexico,,2003,18.2,74.9,2.52,106888418,593223360014,Americas,Central America
44,"2003-01-05",Netherlands,,2003,4.7,78.7,1.75,16167421,394108353879,Europe,Western Europe
45,"2003-01-05",New.Zealand,,2003,,,,,,,
46,"2003-01-05",Norway,,2003,3.5,79.5,1.8,4560947,175929063478,Europe,Northern Europe
47,"2003-01-05",Paraguay,,2003,25.3,74.1,3.43,5607948,7490710349,Americas,South America
48,"2003-01-05",Peru,315.0,2003,24.1,76.2,2.77,26937737,58347474126,Americas,South America
49,"2003-01-05",Poland,,2003,7.0,74.9,1.27,38451227,182642797860,Europe,Eastern Europe
50,"2003-01-05",Romania,,2003,20.6,71.6,1.28,21722664,43302459253,Europe,Eastern Europe
51,"2003-01-05",Russia,,2003,16.6,64.7,1.33,144583147,306737220532,Europe,Eastern Europe
52,"2003-01-05",South.Africa,,2003,,,,,,,
53,"2003-01-05",Spain,,2003,5.1,79.6,1.3,42475265,637037529120,Europe,Southern Europe
54,"2003-01-05",Sweden,,2003,3.2,80.2,1.73,8942926,262592755597,Europe,Northern Europe
55,"2003-01-05",Switzerland,,2003,4.4,80.6,1.42,7289901,253416009483,Europe,Western Europe
56,"2003-01-05",Ukraine,,2003,13.6,67.7,1.18,47493771,39288540241,Europe,Eastern Europe
57,"2003-01-05",United.States,,2003,,,,,,,
58,"2003-01-05",Uruguay,,2003,13.3,75.0,2.19,3325637,20412103881,Americas,South America
59,"2003-01-12",Argentina,,2003,16.6,74.5,2.34,38309475,263468585945,Americas,South America
60,"2003-01-12",Australia,,2003,4.9,80.6,1.75,19735255,456603230864,Oceania,Australia and New Zealand
61,"2003-01-12",Austria,,2003,4.3,79.0,1.38,8155466,198704472152,Europe,Western Europe
62,"2003-01-12",Belgium,,2003,4.2,78.5,1.7,10426169,239659286074,Europe,Western Europe
63,"2003-01-12",Bolivia,,2003,51.2,69.3,3.9,8810420,8988793402,Americas,South America
64,"2003-01-12",Brazil,174.0,2003,22.5,71.7,2.2,183627339,678217761979,Americas,South America
65,"2003-01-12",Bulgaria,,2003,15.5,72.3,1.25,7805041,14838464302,Europe,Eastern Europe
66,"2003-01-12",Canada,,2003,5.2,79.8,1.54,31596593,773714028802,Americas,Northern America
67,"2003-01-12",Chile,1.0,2003,8.0,77.8,1.99,15729268,82560485563,Americas,South America
68,"2003-01-12",France,,2003,4.0,79.6,1.89,60464857,1375491323088,Europe,Western Europe
69,"2003-01-12",Germany,,2003,4.1,78.8,1.35,81569481,1907972414293,Europe,Western Europe
70,"2003-01-12",Hungary,,2003,8.0,72.7,1.29,10141471,52211105383,Europe,Eastern Europe
71,"2003-01-12",Japan,,2003,2.9,81.7,1.3,126523884,4842005214501,Asia,Eastern Asia
72,"2003-01-12",Mexico,,2003,18.2,74.9,2.52,106888418,593223360014,Americas,Central America
73,"2003-01-12",Netherlands,,2003,4.7,78.7,1.75,16167421,394108353879,Europe,Western Europe
74,"2003-01-12",New.Zealand,,2003,,,,,,,
75,"2003-01-12",Norway,,2003,3.5,79.5,1.8,4560947,175929063478,Europe,Northern Europe
76,"2003-01-12",Paraguay,,2003,25.3,74.1,3.43,5607948,7490710349,Americas,South America
77,"2003-01-12",Peru,314.0,2003,24.1,76.2,2.77,26937737,58347474126,Americas,South America
78,"2003-01-12",Poland,,2003,7.0,74.9,1.27,38451227,182642797860,Europe,Eastern Europe
79,"2003-01-12",Romania,,2003,20.6,71.6,1.28,21722664,43302459253,Europe,Eastern Europe
80,"2003-01-12",Russia,,2003,16.6,64.7,1.33,144583147,306737220532,Europe,Eastern Europe
81,"2003-01-12",South.Africa,,2003,,,,,,,
82,"2003-01-12",Spain,,2003,5.1,79.6,1.3,42475265,637037529120,Europe,Southern Europe
83,"2003-01-12",Sweden,,2003,3.2,80.2,1.73,8942926,262592755597,Europe,Northern Europe
84,"2003-01-12",Switzerland,,2003,4.4,80.6,1.42,7289901,253416009483,Europe,Western Europe
85,"2003-01-12",Ukraine,,2003,13.6,67.7,1.18,47493771,39288540241,Europe,Eastern Europe
86,"2003-01-12",United.States,,2003,,,,,,,
87,"2003-01-12",Uruguay,,2003,13.3,75.0,2.19,3325637,20412103881,Americas,South America
88,"2003-01-19",Argentina,,2003,16.6,74.5,2.34,38309475,263468585945,Americas,South America
89,"2003-01-19",Australia,,2003,4.9,80.6,1.75,19735255,456603230864,Oceania,Australia and New Zealand
90,"2003-01-19",Austria,,2003,4.3,79.0,1.38,8155466,198704472152,Europe,Western Europe
91,"2003-01-19",Belgium,,2003,4.2,78.5,1.7,10426169,239659286074,Europe,Western Europe
92,"2003-01-19",Bolivia,,2003,51.2,69.3,3.9,8810420,8988793402,Americas,South America
93,"2003-01-19",Brazil,162.0,2003,22.5,71.7,2.2,183627339,678217761979,Americas,South America
94,"2003-01-19",Bulgaria,,2003,15.5,72.3,1.25,7805041,14838464302,Europe,Eastern Europe
95,"2003-01-19",Canada,,2003,5.2,79.8,1.54,31596593,773714028802,Americas,Northern America
96,"2003-01-19",Chile,0.0,2003,8.0,77.8,1.99,15729268,82560485563,Americas,South America
97,"2003-01-19",France,,2003,4.0,79.6,1.89,60464857,1375491323088,Europe,Western Europe
98,"2003-01-19",Germany,,2003,4.1,78.8,1.35,81569481,1907972414293,Europe,Western Europe
99,"2003-01-19",Hungary,,2003,8.0,72.7,1.29,10141471,52211105383,Europe,Eastern Europe
100,"2003-01-19",Japan,,2003,2.9,81.7,1.3,126523884,4842005214501,Asia,Eastern Asia
101,"2003-01-19",Mexico,,2003,18.2,74.9,2.52,106888418,593223360014,Americas,Central America
102,"2003-01-19",Netherlands,,2003,4.7,78.7,1.75,16167421,394108353879,Europe,Western Europe
103,"2003-01-19",New.Zealand,,2003,,,,,,,
104,"2003-01-19",Norway,,2003,3.5,79.5,1.8,4560947,175929063478,Europe,Northern Europe
105,"2003-01-19",Paraguay,,2003,25.3,74.1,3.43,5607948,7490710349,Americas,South America
106,"2003-01-19",Peru,267.0,2003,24.1,76.2,2.77,26937737,58347474126,Americas,South America
107,"2003-01-19",Poland,,2003,7.0,74.9,1.27,38451227,182642797860,Europe,Eastern Europe
108,"2003-01-19",Romania,,2003,20.6,71.6,1.28,21722664,43302459253,Europe,Eastern Europe
109,"2003-01-19",Russia,,2003,16.6,64.7,1.33,144583147,306737220532,Europe,Eastern Europe
110,"2003-01-19",South.Africa,,2003,,,,,,,
111,"2003-01-19",Spain,,2003,5.1,79.6,1.3,42475265,637037529120,Europe,Southern Europe
112,"2003-01-19",Sweden,,2003,3.2,80.2,1.73,8942926,262592755597,Europe,Northern Europe
113,"2003-01-19",Switzerland,,2003,4.4,80.6,1.42,7289901,253416009483,Europe,Western Europe
114,"2003-01-19",Ukraine,,2003,13.6,67.7,1.18,47493771,39288540241,Europe,Eastern Europe
115,"2003-01-19",United.States,,2003,,,,,,,
116,"2003-01-19",Uruguay,,2003,13.3,75.0,2.19,3325637,20412103881,Americas,South America
117,"2003-01-26",Argentina,,2003,16.6,74.5,2.34,38309475,263468585945,Americas,South America
118,"2003-01-26",Australia,,2003,4.9,80.6,1.75,19735255,456603230864,Oceania,Australia and New Zealand
119,"2003-01-26",Austria,,2003,4.3,79.0,1.38,8155466,198704472152,Europe,Western Europe
120,"2003-01-26",Belgium,,2003,4.2,78.5,1.7,10426169,239659286074,Europe,Western Europe
121,"2003-01-26",Bolivia,,2003,51.2,69.3,3.9,8810420,8988793402,Americas,South America
122,"2003-01-26",Brazil,131.0,2003,22.5,71.7,2.2,183627339,678217761979,Americas,South America
123,"2003-01-26",Bulgaria,,2003,15.5,72.3,1.25,7805041,14838464302,Europe,Eastern Europe
124,"2003-01-26",Canada,,2003,5.2,79.8,1.54,31596593,773714028802,Americas,Northern America
125,"2003-01-26",Chile,0.0,2003,8.0,77.8,1.99,15729268,82560485563,Americas,South America
126,"2003-01-26",France,,2003,4.0,79.6,1.89,60464857,1375491323088,Europe,Western Europe
127,"2003-01-26",Germany,,2003,4.1,78.8,1.35,81569481,1907972414293,Europe,Western Europe
128,"2003-01-26",Hungary,,2003,8.0,72.7,1.29,10141471,52211105383,Europe,Eastern Europe
129,"2003-01-26",Japan,,2003,2.9,81.7,1.3,126523884,4842005214501,Asia,Eastern Asia
130,"2003-01-26",Mexico,,2003,18.2,74.9,2.52,106888418,593223360014,Americas,Central America
131,"2003-01-26",Netherlands,,2003,4.7,78.7,1.75,16167421,394108353879,Europe,Western Europe
132,"2003-01-26",New.Zealand,,2003,,,,,,,
133,"2003-01-26",Norway,,2003,3.5,79.5,1.8,4560947,175929063478,Europe,Northern Europe
134,"2003-01-26",Paraguay,,2003,25.3,74.1,3.43,5607948,7490710349,Americas,South America
135,"2003-01-26",Peru,241.0,2003,24.1,76.2,2.77,26937737,58347474126,Americas,South America
136,"2003-01-26",Poland,,2003,7.0,74.9,1.27,38451227,182642797860,Europe,Eastern Europe
137,"2003-01-26",Romania,,2003,20.6,71.6,1.28,21722664,43302459253,Europe,Eastern Europe
138,"2003-01-26",Russia,,2003,16.6,64.7,1.33,144583147,306737220532,Europe,Eastern Europe
139,"2003-01-26",South.Africa,,2003,,,,,,,
140,"2003-01-26",Spain,,2003,5.1,79.6,1.3,42475265,637037529120,Europe,Southern Europe
141,"2003-01-26",Sweden,,2003,3.2,80.2,1.73,8942926,262592755597,Europe,Northern Europe
142,"2003-01-26",Switzerland,,2003,4.4,80.6,1.42,7289901,253416009483,Europe,Western Europe
143,"2003-01-26",Ukraine,,2003,13.6,67.7,1.18,47493771,39288540241,Europe,Eastern Europe
144,"2003-01-26",United.States,,2003,,,,,,,
145,"2003-01-26",Uruguay,,2003,13.3,75.0,2.19,3325637,20412103881,Americas,South America
146,"2003-02-02",Argentina,136.0,2003,16.6,74.5,2.34,38309475,263468585945,Americas,South America
147,"2003-02-02",Australia,,2003,4.9,80.6,1.75,19735255,456603230864,Oceania,Australia and New Zealand
148,"2003-02-02",Austria,,2003,4.3,79.0,1.38,8155466,198704472152,Europe,Western Europe
149,"2003-02-02",Belgium,,2003,4.2,78.5,1.7,10426169,239659286074,Europe,Western Europe
150,"2003-02-02",Bolivia,,2003,51.2,69.3,3.9,8810420,8988793402,Americas,South America
151,"2003-02-02",Brazil,151.0,2003,22.5,71.7,2.2,183627339,678217761979,Americas,South America
152,"2003-02-02",Bulgaria,,2003,15.5,72.3,1.25,7805041,14838464302,Europe,Eastern Europe
153,"2003-02-02",Canada,,2003,5.2,79.8,1.54,31596593,773714028802,Americas,Northern America
154,"2003-02-02",Chile,0.0,2003,8.0,77.8,1.99,15729268,82560485563,Americas,South America
155,"2003-02-02",France,,2003,4.0,79.6,1.89,60464857,1375491323088,Europe,Western Europe
156,"2003-02-02",Germany,,2003,4.1,78.8,1.35,81569481,1907972414293,Europe,Western Europe
157,"2003-02-02",Hungary,,2003,8.0,72.7,1.29,10141471,52211105383,Europe,Eastern Europe
158,"2003-02-02",Japan,,2003,2.9,81.7,1.3,126523884,4842005214501,Asia,Eastern Asia
159,"2003-02-02",Mexico,,2003,18.2,74.9,2.52,106888418,593223360014,Americas,Central America
160,"2003-02-02",Netherlands,,2003,4.7,78.7,1.75,16167421,394108353879,Europe,Western Europe
161,"2003-02-02",New.Zealand,,2003,,,,,,,
162,"2003-02-02",Norway,,2003,3.5,79.5,1.8,4560947,175929063478,Europe,Northern Europe
163,"2003-02-02",Paraguay,,2003,25.3,74.1,3.43,5607948,7490710349,Americas,South America
164,"2003-02-02",Peru,227.0,2003,24.1,76.2,2.77,26937737,58347474126,Americas,South America
165,"2003-02-02",Poland,,2003,7.0,74.9,1.27,38451227,182642797860,Europe,Eastern Europe
166,"2003-02-02",Romania,,2003,20.6,71.6,1.28,21722664,43302459253,Europe,Eastern Europe
167,"2003-02-02",Russia,,2003,16.6,64.7,1.33,144583147,306737220532,Europe,Eastern Europe
168,"2003-02-02",South.Africa,,2003,,,,,,,
169,"2003-02-02",Spain,,2003,5.1,79.6,1.3,42475265,637037529120,Europe,Southern Europe
170,"2003-02-02",Sweden,,2003,3.2,80.2,1.73,8942926,262592755597,Europe,Northern Europe
171,"2003-02-02",Switzerland,,2003,4.4,80.6,1.42,7289901,253416009483,Europe,Western Europe
172,"2003-02-02",Ukraine,,2003,13.6,67.7,1.18,47493771,39288540241,Europe,Eastern Europe
173,"2003-02-02",United.States,,2003,,,,,,,
174,"2003-02-02",Uruguay,,2003,13.3,75.0,2.19,3325637,20412103881,Americas,South America
175,"2003-02-09",Argentina,145.0,2003,16.6,74.5,2.34,38309475,263468585945,Americas,South America
176,"2003-02-09",Australia,,2003,4.9,80.6,1.75,19735255,456603230864,Oceania,Australia and New Zealand
177,"2003-02-09",Austria,,2003,4.3,79.0,1.38,8155466,198704472152,Europe,Western Europe
178,"2003-02-09",Belgium,,2003,4.2,78.5,1.7,10426169,239659286074,Europe,Western Europe
179,"2003-02-09",Bolivia,,2003,51.2,69.3,3.9,8810420,8988793402,Americas,South America
180,"2003-02-09",Brazil,184.0,2003,22.5,71.7,2.2,183627339,678217761979,Americas,South America
181,"2003-02-09",Bulgaria,,2003,15.5,72.3,1.25,7805041,14838464302,Europe,Eastern Europe
182,"2003-02-09",Canada,,2003,5.2,79.8,1.54,31596593,773714028802,Americas,Northern America
183,"2003-02-09",Chile,0.0,2003,8.0,77.8,1.99,15729268,82560485563,Americas,South America
184,"2003-02-09",France,,2003,4.0,79.6,1.89,60464857,1375491323088,Europe,Western Europe
185,"2003-02-09",Germany,,2003,4.1,78.8,1.35,81569481,1907972414293,Europe,Western Europe
186,"2003-02-09",Hungary,,2003,8.0,72.7,1.29,10141471,52211105383,Europe,Eastern Europe
187,"2003-02-09",Japan,,2003,2.9,81.7,1.3,126523884,4842005214501,Asia,Eastern Asia
188,"2003-02-09",Mexico,,2003,18.2,74.9,2.52,106888418,593223360014,Americas,Central America
189,"2003-02-09",Netherlands,,2003,4.7,78.7,1.75,16167421,394108353879,Europe,Western Europe
190,"2003-02-09",New.Zealand,,2003,,,,,,,
191,"2003-02-09",Norway,,2003,3.5,79.5,1.8,4560947,175929063478,Europe,Northern Europe
192,"2003-02-09",Paraguay,,2003,25.3,74.1,3.43,5607948,7490710349,Americas,South America
193,"2003-02-09",Peru,250.0,2003,24.1,76.2,2.77,26937737,58347474126,Americas,South America
194,"2003-02-09",Poland,,2003,7.0,74.9,1.27,38451227,182642797860,Europe,Eastern Europe
195,"2003-02-09",Romania,664.0,2003,20.6,71.6,1.28,21722664,43302459253,Europe,Eastern Europe
196,"2003-02-09",Russia,,2003,16.6,64.7,1.33,144583147,306737220532,Europe,Eastern Europe
197,"2003-02-09",South.Africa,,2003,,,,,,,
198,"2003-02-09",Spain,,2003,5.1,79.6,1.3,42475265,637037529120,Europe,Southern Europe
199,"2003-02-09",Sweden,,2003,3.2,80.2,1.73,8942926,262592755597,Europe,Northern Europe
200,"2003-02-09",Switzerland,,2003,4.4,80.6,1.42,7289901,253416009483,Europe,Western Europe
201,"2003-02-09",Ukraine,,2003,13.6,67.7,1.18,47493771,39288540241,Europe,Eastern Europe
202,"2003-02-09",United.States,,2003,,,,,,,
203,"2003-02-09",Uruguay,,2003,13.3,75.0,2.19,3325637,20412103881,Americas,South America
204,"2003-02-16",Argentina,141.0,2003,16.6,74.5,2.34,38309475,263468585945,Americas,South America
205,"2003-02-16",Australia,,2003,4.9,80.6,1.75,19735255,456603230864,Oceania,Australia and New Zealand
206,"2003-02-16",Austria,,2003,4.3,79.0,1.38,8155466,198704472152,Europe,Western Europe
207,"2003-02-16",Belgium,,2003,4.2,78.5,1.7,10426169,239659286074,Europe,Western Europe
208,"2003-02-16",Bolivia,,2003,51.2,69.3,3.9,8810420,8988793402,Americas,South America
209,"2003-02-16",Brazil,162.0,2003,22.5,71.7,2.2,183627339,678217761979,Americas,South America
210,"2003-02-16",Bulgaria,,2003,15.5,72.3,1.25,7805041,14838464302,Europe,Eastern Europe
211,"2003-02-16",Canada,,2003,5.2,79.8,1.54,31596593,773714028802,Americas,Northern America
212,"2003-02-16",Chile,0.0,2003,8.0,77.8,1.99,15729268,82560485563,Americas,South America
213,"2003-02-16",France,,2003,4.0,79.6,1.89,60464857,1375491323088,Europe,Western Europe
214,"2003-02-16",Germany,,2003,4.1,78.8,1.35,81569481,1907972414293,Europe,Western Europe
215,"2003-02-16",Hungary,,2003,8.0,72.7,1.29,10141471,52211105383,Europe,Eastern Europe
216,"2003-02-16",Japan,,2003,2.9,81.7,1.3,126523884,4842005214501,Asia,Eastern Asia
217,"2003-02-16",Mexico,,2003,18.2,74.9,2.52,106888418,593223360014,Americas,Central America
218,"2003-02-16",Netherlands,,2003,4.7,78.7,1.75,16167421,394108353879,Europe,Western Europe
219,"2003-02-16",New.Zealand,,2003,,,,,,,
220,"2003-02-16",Norway,,2003,3.5,79.5,1.8,4560947,175929063478,Europe,Northern Europe
221,"2003-02-16",Paraguay,,2003,25.3,74.1,3.43,5607948,7490710349,Americas,South America
222,"2003-02-16",Peru,236.0,2003,24.1,76.2,2.77,26937737,58347474126,Americas,South America
223,"2003-02-16",Poland,,2003,7.0,74.9,1.27,38451227,182642797860,Europe,Eastern Europe
224,"2003-02-16",Romania,736.0,2003,20.6,71.6,1.28,21722664,43302459253,Europe,Eastern Europe
225,"2003-02-16",Russia,,2003,16.6,64.7,1.33,144583147,306737220532,Europe,Eastern Europe
226,"2003-02-16",South.Africa,,2003,,,,,,,
227,"2003-02-16",Spain,,2003,5.1,79.6,1.3,42475265,637037529120,Europe,Southern Europe
228,"2003-02-16",Sweden,,2003,3.2,80.2,1.73,8942926,262592755597,Europe,Northern Europe
229,"2003-02-16",Switzerland,,2003,4.4,80.6,1.42,7289901,253416009483,Europe,Western Europe
230,"2003-02-16",Ukraine,,2003,13.6,67.7,1.18,47493771,39288540241,Europe,Eastern Europe
231,"2003-02-16",United.States,,2003,,,,,,,
232,"2003-02-16",Uruguay,,2003,13.3,75.0,2.19,3325637,20412103881,Americas,South America
233,"2003-02-23",Argentina,135.0,2003,16.6,74.5,2.34,38309475,263468585945,Americas,South America
234,"2003-02-23",Australia,,2003,4.9,80.6,1.75,19735255,456603230864,Oceania,Australia and New Zealand
235,"2003-02-23",Austria,,2003,4.3,79.0,1.38,8155466,198704472152,Europe,Western Europe
236,"2003-02-23",Belgium,,2003,4.2,78.5,1.7,10426169,239659286074,Europe,Western Europe
237,"2003-02-23",Bolivia,426.0,2003,51.2,69.3,3.9,8810420,8988793402,Americas,South America
238,"2003-02-23",Brazil,194.0,2003,22.5,71.7,2.2,183627339,678217761979,Americas,South America
239,"2003-02-23",Bulgaria,,2003,15.5,72.3,1.25,7805041,14838464302,Europe,Eastern Europe
240,"2003-02-23",Canada,,2003,5.2,79.8,1.54,31596593,773714028802,Americas,Northern America
241,"2003-02-23",Chile,0.0,2003,8.0,77.8,1.99,15729268,82560485563,Americas,South America
242,"2003-02-23",France,,2003,4.0,79.6,1.89,60464857,1375491323088,Europe,Western Europe
243,"2003-02-23",Germany,,2003,4.1,78.8,1.35,81569481,1907972414293,Europe,Western Europe
244,"2003-02-23",Hungary,,2003,8.0,72.7,1.29,10141471,52211105383,Europe,Eastern Europe
245,"2003-02-23",Japan,,2003,2.9,81.7,1.3,126523884,4842005214501,Asia,Eastern Asia
246,"2003-02-23",Mexico,,2003,18.2,74.9,2.52,106888418,593223360014,Americas,Central America
247,"2003-02-23",Netherlands,,2003,4.7,78.7,1.75,16167421,394108353879,Europe,Western Europe
248,"2003-02-23",New.Zealand,,2003,,,,,,,
249,"2003-02-23",Norway,,2003,3.5,79.5,1.8,4560947,175929063478,Europe,Northern Europe
250,"2003-02-23",Paraguay,,2003,25.3,74.1,3.43,5607948,7490710349,Americas,South America
251,"2003-02-23",Peru,274.0,2003,24.1,76.2,2.77,26937737,58347474126,Americas,South America
252,"2003-02-23",Poland,,2003,7.0,74.9,1.27,38451227,182642797860,Europe,Eastern Europe
253,"2003-02-23",Romania,740.0,2003,20.6,71.6,1.28,21722664,43302459253,Europe,Eastern Europe
254,"2003-02-23",Russia,,2003,16.6,64.7,1.33,144583147,306737220532,Europe,Eastern Europe
255,"2003-02-23",South.Africa,,2003,,,,,,,
256,"2003-02-23",Spain,,2003,5.1,79.6,1.3,42475265,637037529120,Europe,Southern Europe
257,"2003-02-23",Sweden,,2003,3.2,80.2,1.73,8942926,262592755597,Europe,Northern Europe
258,"2003-02-23",Switzerland,,2003,4.4,80.6,1.42,7289901,253416009483,Europe,Western Europe
259,"2003-02-23",Ukraine,,2003,13.6,67.7,1.18,47493771,39288540241,Europe,Eastern Europe
260,"2003-02-23",United.States,,2003,,,,,,,
261,"2003-02-23",Uruguay,,2003,13.3,75.0,2.19,3325637,20412103881,Americas,South America
262,"2003-03-02",Argentina,134.0,2003,16.6,74.5,2.34,38309475,263468585945,Americas,South America
263,"2003-03-02",Australia,,2003,4.9,80.6,1.75,19735255,456603230864,Oceania,Australia and New Zealand
264,"2003-03-02",Austria,,2003,4.3,79.0,1.38,8155466,198704472152,Europe,Western Europe
265,"2003-03-02",Belgium,,2003,4.2,78.5,1.7,10426169,239659286074,Europe,Western Europe
266,"2003-03-02",Bolivia,427.0,2003,51.2,69.3,3.9,8810420,8988793402,Americas,South America
267,"2003-03-02",Brazil,177.0,2003,22.5,71.7,2.2,183627339,678217761979,Americas,South America
268,"2003-03-02",Bulgaria,,2003,15.5,72.3,1.25,7805041,14838464302,Europe,Eastern Europe
269,"2003-03-02",Canada,,2003,5.2,79.8,1.54,31596593,773714028802,Americas,Northern America
270,"2003-03-02",Chile,0.0,2003,8.0,77.8,1.99,15729268,82560485563,Americas,South America
271,"2003-03-02",France,,2003,4.0,79.6,1.89,60464857,1375491323088,Europe,Western Europe
272,"2003-03-02",Germany,,2003,4.1,78.8,1.35,81569481,1907972414293,Europe,Western Europe
273,"2003-03-02",Hungary,,2003,8.0,72.7,1.29,10141471,52211105383,Europe,Eastern Europe
274,"2003-03-02",Japan,,2003,2.9,81.7,1.3,126523884,4842005214501,Asia,Eastern Asia
275,"2003-03-02",Mexico,,2003,18.2,74.9,2.52,106888418,593223360014,Americas,Central America
276,"2003-03-02",Netherlands,,2003,4.7,78.7,1.75,16167421,394108353879,Europe,Western Europe
277,"2003-03-02",New.Zealand,,2003,,,,,,,
278,"2003-03-02",Norway,,2003,3.5,79.5,1.8,4560947,175929063478,Europe,Northern Europe
279,"2003-03-02",Paraguay,,2003,25.3,74.1,3.43,5607948,7490710349,Americas,South America
280,"2003-03-02",Peru,270.0,2003,24.1,76.2,2.77,26937737,58347474126,Americas,South America
281,"2003-03-02",Poland,,2003,7.0,74.9,1.27,38451227,182642797860,Europe,Eastern Europe
282,"2003-03-02",Romania,864.0,2003,20.6,71.6,1.28,21722664,43302459253,Europe,Eastern Europe
283,"2003-03-02",Russia,,2003,16.6,64.7,1.33,144583147,306737220532,Europe,Eastern Europe
284,"2003-03-02",South.Africa,,2003,,,,,,,
285,"2003-03-02",Spain,,2003,5.1,79.6,1.3,42475265,637037529120,Europe,Southern Europe
286,"2003-03-02",Sweden,,2003,3.2,80.2,1.73,8942926,262592755597,Europe,Northern Europe
287,"2003-03-02",Switzerland,,2003,4.4,80.6,1.42,7289901,253416009483,Europe,Western Europe
288,"2003-03-02",Ukraine,,2003,13.6,67.7,1.18,47493771,39288540241,Europe,Eastern Europe
289,"2003-03-02",United.States,,2003,,,,,,,
290,"2003-03-02",Uruguay,,2003,13.3,75.0,2.19,3325637,20412103881,Americas,South America
291,"2003-03-09",Argentina,136.0,2003,16.6,74.5,2.34,38309475,263468585945,Americas,South America
